hospital_name,district,region
Mulago National Referral Hospital,Kampala,Central
Naguru General Hospital,Kampala,Central
Entebbe Regional Referral Hospital,Wakiso,Central
Mubende Regional Referral Hospital,Mubende,Central
Masaka Regional Referral Hospital,Masaka,Central
Kayunga Regional Referral Hospital,Kayunga,Central
Gombe General Hospital,Butambala,Central
Kiboga General Hospital,Kiboga,Central
Nakaseke General Hospital,Nakaseke,Central
Jinja Regional Referral Hospital,Jinja,Eastern
Mbale Regional Referral Hospital,Mbale,Eastern
Soroti Regional Referral Hospital,Soroti,Eastern
Bugiri General Hospital,Bugiri,Eastern
Busolwe General Hospital,Butaleja,Eastern
Atutur General Hospital,Kumi,Eastern
Bukwo General Hospital,Bukwo,Eastern
Buwenge General Hospital,Jinja,Eastern
Pallisa General Hospital,Pallisa,Eastern
Gulu Regional Referral Hospital,Gulu,Northern
Lira Regional Referral Hospital,Lira,Northern
Arua Regional Referral Hospital,Arua,Northern
Moroto Regional Referral Hospital,Moroto,Northern
Apac General Hospital,Apac,Northern
Anaka General Hospital,Nwoya,Northern
Adjumani General Hospital,Adjumani,Northern
Abim General Hospital,Abim,Northern
Angal Hospital,Nebbi,Northern
Mbarara Regional Referral Hospital,Mbarara,Western
Fort Portal Regional Referral Hospital,Kabarole,Western
Hoima Regional Referral Hospital,Hoima,Western
Kabale Regional Referral Hospital,Kabale,Western
Bwera General Hospital,Kasese,Western
Bundibugyo General Hospital,Bundibugyo,Western
Bwindi Community Hospital,Kanungu,Western
